id,code_INSEE,commune,surface_parcourue_m2,annee,mois,jour,heure,nature_inc_prim,nature_inc_sec,latitude,longitude,altitude_med
340,2A031,Bastelica,339000,2015,Aug,30,12,Malveillance,NA,41.9781,9.0553,661.0
341,48116,Le Pont-de-Montvert,648000,2015,Mar,11,12,Involontaire,travaux,44.3684,3.7777,1000.0
342,48022,BÃ©douÃ¨s,138000,2015,Mar,9,13,Involontaire,travaux,44.35,3.6,618.0
343,4194,Saint-Pierre,204800,2015,Apr,1,12,Involontaire,particulier,43.9114,6.922,860.0
344,6074,Lantosque,178700,2015,Apr,2,12,Malveillance,NA,43.9787,7.3121,485.0
345,6103,RoquebilliÃ¨re,387400,2015,Apr,3,17,Malveillance,NA,44.0282,7.2885,625.0
346,7286,Saint-Pierreville,300000,2015,Apr,10,11,Involontaire,travaux,44.8242,4.4845,640.0
347,2B337,Valle-di-Rostino,53361,2015,Apr,13,13,Involontaire,travaux,42.46,9.2592,198.0
348,6074,Lantosque,73100,2015,Jan,4,12,Malveillance,NA,43.9787,7.3121,485.0
349,6074,Lantosque,82100,2015,Jan,12,18,Malveillance,NA,43.9787,7.3121,485.0
350,6132,Saorge,89200,2015,Apr,11,14,Malveillance,NA,43.9935,7.5403,425.0
351,6023,Breil-sur-Roya,59500,2015,Apr,11,15,Malveillance,NA,43.9379,7.4996,320.0
352,6103,RoquebilliÃ¨re,102300,2015,Apr,15,13,Malveillance,NA,44.0282,7.2885,625.0
353,26113,Die,73000,2015,Mar,13,13,Involontaire,particulier,44.7515,5.3878,396.0
354,12163,Murasson,200000,2016,Feb,21,18,Malveillance,NA,43.7606,2.7767,811.0
355,12082,Couvertoirade (La),70000,2016,Jul,19,9,Involontaire,travaux,43.9307,3.2848,729.0
356,12076,Conques-en-Rouergue,50000,2016,Aug,15,16,Accidentelle,NA,44.5817,2.3895,320.0
357,46183,Marcilhac-sur-CÃ©lÃ©,220000,2016,Aug,16,21,Naturelle,NA,44.5486,1.78,281.0
358,18219,Saint-Laurent,93300,2016,Aug,11,16,Accidentelle,NA,47.2434,2.1855,155.0
359,81066,CaucaliÃ¨res,800000,2016,Sep,5,15,Accidentelle,NA,43.5416,2.3141,198.0
360,58081,ColmÃ©ry,80000,2016,Aug,30,12,Malveillance,NA,47.346,3.2441,216.0
361,17038,Bedenac,104100,2016,Aug,16,18,Malveillance,NA,45.1799,-0.3109,66.0
362,17074,Bussac-ForÃªt,52600,2016,Sep,12,15,Malveillance,NA,45.1928,-0.3774,96.0
363,17110,ClÃ©rac,220000,2016,Sep,12,16,Malveillance,NA,45.1734,-0.2376,66.0
364,47234,Saint-Caprais-de-Lerm,50050,2016,Sep,13,19,Involontaire,travaux,44.2149,0.7544,140.0
365,33273,Martignas-sur-Jalle,80000,2016,Sep,8,15,Accidentelle,NA,44.8451,-0.8006,60.0
366,2B183,Ogliastro,60000,2016,Mar,31,12,Malveillance,NA,42.8216,9.3566,140.0
367,2B281,Sisco,200000,2016,Apr,2,18,Malveillance,NA,42.8152,9.4389,354.0
368,2B109,Farinole,50000,2016,Apr,1,21,Malveillance,NA,42.7306,9.363,300.0
369,6142,TouÃ«t-de-l'EscarÃ¨ne,107161,2016,Mar,26,14,Involontaire,particulier,43.8516,7.3799,843.0
370,48166,Cans et CÃ©vennes,104100,2016,Mar,26,14,Involontaire,particulier,44.2834,3.6443,903.0
371,48194,Vialas,151100,2016,Mar,26,14,Involontaire,travaux,44.3466,3.893,610.0
372,84034,Caumont-sur-Durance,200000,2016,Mar,23,12,Malveillance,NA,43.8813,4.955,54.0
373,6098,Puget-Rostang,60324,2016,Apr,12,10,Involontaire,particulier,44.0056,6.9333,860.0
374,6074,Lantosque,131743,2016,Apr,12,15,Malveillance,NA,43.9787,7.3121,485.0
375,2B159,Meria,83700,2016,Apr,18,19,Malveillance,NA,42.9179,9.4319,278.0
376,2B313,San-Nicolao,90000,2016,Apr,18,21,Malveillance,NA,42.3687,9.5069,14.0
377,34103,FontÃ¨s,140300,2016,Apr,19,13,Malveillance,NA,43.5414,3.3881,40.0
378,34004,Agel,142600,2016,May,5,12,Involontaire,particulier,43.3498,2.8544,219.0
379,7202,SabliÃ¨res,200000,2016,Mar,15,17,Involontaire,travaux,44.5451,4.0675,400.0
380,6074,Lantosque,62601,2016,May,28,22,Malveillance,NA,43.9787,7.3121,485.0
381,34166,Montblanc,425000,2016,Jun,27,15,Involontaire,particulier,43.3775,3.3569,15.0
382,11198,Laure-Minervois,140300,2016,Jun,30,17,Malveillance,NA,43.2678,2.5144,125.0
383,2B096,Corte,248000,2016,Jun,27,14,Involontaire,particulier,42.2737,9.0691,1372.0
384,66143,PlanÃ¨zes,600000,2016,Jun,21,16,Involontaire,travaux,42.7736,2.6215,167.0
385,66030,Calce,50000,2016,Jun,25,11,Malveillance,NA,42.7477,2.7545,182.0
386,66030,Calce,200000,2016,Jul,5,4,Accidentelle,NA,42.7477,2.7545,182.0
387,66140,PÃ©zilla-la-RiviÃ¨re,150000,2016,Jul,5,12,Accidentelle,NA,42.7089,2.76,110.0
388,11308,Raissac-sur-Lampy,144520,2016,Jul,7,12,Involontaire,travaux,43.2802,2.1614,134.0
389,11273,Paraza,185068,2016,Jul,14,21,Malveillance,NA,43.2561,2.8133,80.0
390,11099,Conques-sur-Orbiel,829689,2016,Jul,16,16,Accidentelle,NA,43.2815,2.38,120.0
391,83069,HyÃ¨res,73000,2016,Jul,14,18,Involontaire,particulier,43.1139,6.2357,6.0
392,83064,GarÃ©oult,75000,2016,Jul,15,16,Involontaire,particulier,43.3397,6.0426,189.0
393,2B143,Linguizzetta,80000,2016,Jul,15,17,Malveillance,NA,42.2144,9.5015,78.0
394,13026,ChÃ¢teauneuf-les-Martigues,1000000,2016,Jul,13,21,Malveillance,NA,43.3905,5.1465,9.0
395,13056,Martigues,460000,2016,Jul,15,19,Malveillance,NA,43.3839,5.0451,12.0
396,34032,BÃ©ziers,87000,2016,Jul,13,12,Involontaire,particulier,43.3481,3.2342,50.0
397,34225,Puisserguier,51500,2016,Jul,19,14,Accidentelle,NA,43.379,3.056,83.0
398,2B355,Volpajola,464200,2016,Jul,19,21,Malveillance,NA,42.5237,9.3699,70.0
399,66180,Saint-Laurent-de-la-Salanque,100000,2016,Jul,13,14,Involontaire,particulier,42.8073,2.9993,3.0
400,66071,Estagel,150000,2016,Jul,16,15,Malveillance,NA,42.7642,2.7077,182.0
401,11144,Fitou,121304,2016,Jul,17,19,Involontaire,particulier,42.8992,2.9572,42.0
402,48004,Altier,229000,2016,Apr,20,11,Involontaire,particulier,44.457,3.8559,900.0
403,11262,Narbonne,324079,2016,Jan,15,22,Malveillance,NA,43.1493,3.0336,13.0
404,34145,Lunel,51700,2016,Jun,27,14,Accidentelle,NA,43.678,4.1329,10.0
405,34163,Montarnaud,127500,2016,Jul,10,12,Involontaire,particulier,43.648,3.7053,100.0
406,11390,ThÃ©zan-des-CorbiÃ¨res,102861,2016,Feb,5,16,Involontaire,travaux,43.0947,2.7918,85.0
407,2B320,Tallone,51000,2016,Aug,2,11,Malveillance,NA,42.1897,9.4697,78.0
408,34148,Maraussan,101700,2016,Aug,5,14,Malveillance,NA,43.3733,3.154,26.0
409,2B009,AlÃ©ria,66000,2016,Aug,6,14,Malveillance,NA,42.0993,9.4972,41.0
410,2B185,Oletta,97300,2016,Aug,7,10,Malveillance,NA,42.6451,9.3453,54.0
411,66106,Maureillas-las-Illas,400000,2016,Jul,18,12,Involontaire,particulier,42.4635,2.7999,565.0
412,30181,Montmirat,52692,2016,Aug,10,13,Malveillance,NA,43.9062,4.121,108.0
413,30141,Laudun-l'Ardoise,102268,2016,Aug,11,16,Involontaire,travaux,44.1051,4.6615,43.0
414,11162,Generville,74533,2016,Aug,2,16,Involontaire,travaux,43.211,1.9309,302.0
415,34285,Saint-Pons-de-Mauchiens,287500,2016,Aug,10,16,Malveillance,NA,43.5102,3.5136,22.0
416,11022,Azille,90908,2016,Aug,10,20,Malveillance,NA,43.2763,2.6581,131.0
417,66164,Rivesaltes,500000,2016,Jul,27,14,Involontaire,particulier,42.7761,2.8769,42.0
