id,code_INSEE,tens_vap_med,surface_parcourue_m2
918,83124,10.1,70000
919,2B150,11.9,52500
920,30193,11.1,54503
921,2B185,12.3,105050
922,6157,13.2,89000
923,2A006,12.9,70000
924,2B190,12.6,65000
925,66121,11.2,963400
926,66012,11.4,304530
927,66048,12.3,99300
928,34328,10.95,69781
929,2B143,13.3,100000
930,34180,11.4,134100
931,34007,11.0,67160
932,34017,11.4,143957
933,34183,11.1,464040
934,2A017,12.9,357000
935,2A209,11.8,78000
936,66190,12.1,170000
937,66205,10.5,902900
938,6073,4.6,98000
939,48075,8.2,154800
940,13056,12.4,59000
941,2B235,12.6,100000
942,2B333,12.3,170000
943,2B143,13.3,334500
944,34268,10.7,153388
945,34045,11.0,278905
946,34213,11.9,61647
947,34036,10.7,113183
948,66002,12.1,75000
949,34332,11.8,70550
950,2A006,12.9,157305
951,34093,10.5,72005
952,34135,11.8,378600
953,34186,10.7,68072
954,34056,11.4,80994
955,34165,11.9,445051
956,34178,11.1,54906
957,2A200,9.4,184200
958,2B289,11.2,106000
959,2B079,11.4,70000
960,2B343,12.8,80000
961,34144,10.5,77012
962,15081,7.6,50000
963,15045,8.4,150000
964,21582,10.2,75000
965,46040,10.7,200000
966,81243,11.1,849600
967,81325,12.0,122000
968,81073,11.5,500000
969,15106,8.6,250000
970,41275,11.3,300000
971,58102,11.0,60000
972,58304,10.5,50100
973,46079,10.7,90000
974,54244,10.1,120000
975,81027,12.0,110000
976,43157,8.45,98500
977,54156,10.1,60500
978,42021,10.7,200000
979,35211,11.5,100000
980,58102,11.0,260000
981,60182,10.5,500000
982,97606,28.0,70000
983,97603,28.0,50000
984,27209,10.9,800000
985,97423,17.3,55342
986,56233,12.6,50000
987,56054,13.8,340000
988,56132,11.1,150000
989,56126,11.6,200000
990,61413,10.3,100000
991,61117,10.4,200000
992,61475,10.5,600000
993,61435,10.3,100000
994,61230,10.6,150000
995,61346,10.75,350000
996,61397,10.4,150000
997,61490,10.5,110000
998,61040,10.4,50000
999,61329,12.7,200000
1000,61145,11.0,100000
1001,61407,11.55,100000
1002,61026,10.6,160000
1003,61263,10.4,50000
1004,61206,10.3,50000
1005,61020,12.75,100000
1006,61092,10.3,205000
1007,61460,11.15,200000
1008,61447,10.4,200000
1009,61037,12.7,200000
1010,61061,10.0,150000
1011,61230,10.6,1000000
1012,61418,10.5,100000
1013,61429,10.3,100000
1014,61440,10.3,100000
1015,61067,10.6,400000
1016,61440,10.3,100000
1017,61461,11.15,80000
1018,61240,10.3,100000
1019,61024,10.4,100000
1020,61067,10.6,50000
1021,61486,10.4,350000
1022,61158,11.1,400000
1023,61145,11.0,50000
1024,61050,10.6,100000
1025,61248,11.0,50000
1026,61309,10.6,60000
1027,61421,11.0,100000
1028,61375,12.75,400000
1029,61081,10.9,100000
1030,61457,10.3,150000
1031,61445,10.4,300000
1032,61050,10.6,250000
1033,61193,10.3,300000
1034,61234,10.4,200000
1035,61002,10.3,100000
1036,61244,10.5,50000
1037,12225,9.2,62000
1038,12291,9.2,155000
1039,38545,6.5,165800
1040,12163,9.3,307000
1041,12003,10.7,64400
1042,12037,10.4,60000
1043,38527,3.8,150000
1044,65295,4.4,400000
1045,79111,12.6,311000
