code_INSEE,latitude,longitude,altitude_med
64067,43.2576,-0.2878,213.0
64223,42.8901,-0.5318,1074.0
64559,43.2476,-0.8943,130.0
40296,43.7055,-1.3939,2.0
40319,44.232,-0.7015,76.0
40006,44.0299,-0.7811,80.0
40060,44.2743,-0.4688,89.0
33029,44.6297,-0.7437,65.0
33202,44.4834,-0.6616,75.0
33233,45.1206,-0.3394,66.0
48098,44.2151,3.691,750.0
2B315,42.2472,9.1764,350.0
30089,43.8489,4.5863,18.0
34197,43.5763,3.4016,40.0
26200,44.1722,5.644,660.0
2B242,42.4009,9.5121,14.0
7315,44.6258,4.1565,600.0
2B224,42.8459,9.4361,354.0
4094,43.7628,5.8597,359.0
4199,44.1674,5.7425,660.0
2B145,42.4767,9.4268,25.0
2B192,42.5018,9.4139,70.0
66119,42.6719,2.2848,500.0
5055,44.5751,5.7378,825.0
30129,44.0797,3.9941,139.0
30339,44.081,3.6272,367.0
2B275,42.3155,9.2637,850.0
30017,43.9927,3.4806,500.0
13081,43.4995,5.233,9.0
2B051,42.367,9.303,822.0
7115,44.4682,4.3074,107.0
13033,43.3554,5.188,9.0
4170,43.9097,6.875,860.0
4013,44.1211,5.9542,440.0
66017,42.8118,3.0281,3.0
66172,42.7154,2.8445,42.0
66093,42.5179,2.9314,28.0
66176,42.8104,2.9754,7.0
66049,42.473,2.7565,146.0
66015,42.5653,2.8649,148.0
2B063,42.3554,9.3593,784.0
48178,44.2885,3.8341,1000.0
17240,45.2859,-0.3862,96.0
87150,45.6372,1.149,336.0
89368,47.6358,3.196,198.0
63006,45.3265,3.0104,1270.0
12155,43.8574,3.1226,510.0
33436,44.559,-0.6623,75.0
33376,44.9343,-0.7478,27.0
34040,43.6402,3.2521,439.0
34092,43.3528,2.9244,219.0
6163,44.0971,7.5499,1279.0
48075,44.4009,3.5315,618.0
48168,44.6048,3.3059,746.0
84079,44.052,5.345,670.0
7187,44.5957,4.255,779.0
5077,44.7123,6.8975,2000.0
2B213,42.3004,9.3577,680.0
34206,43.304,3.0915,33.0
13007,43.3594,5.6559,615.0
66174,42.6733,2.7498,110.0
66148,42.5034,3.1048,72.0
83124,43.6326,6.6024,372.0
2B150,42.58,8.8262,296.0
30193,43.8679,4.2129,114.0
2A006,41.9702,8.7294,317.0
2B190,42.5231,9.0107,844.0
66121,42.696,2.6566,103.0
66012,42.7066,2.8229,42.0
34328,43.5808,3.5611,50.0
34180,43.5999,3.4357,145.0
2A209,42.0015,8.9099,433.0
6073,44.1903,7.0835,875.0
2B235,42.5251,8.9696,844.0
2B333,42.6003,9.3373,54.0
66002,42.6413,2.9824,13.0
2A200,41.9905,9.1868,928.0
2B289,42.3473,9.1425,347.0
2B343,42.4998,9.4885,25.0
34144,43.7033,3.1951,249.0
15081,44.9411,2.6605,683.0
15045,44.8423,3.0057,924.0
21582,46.9184,4.6929,232.0
46040,44.5155,1.6216,315.0
81243,44.0285,1.818,395.0
81325,43.5491,2.1799,198.0
81073,43.9516,2.2964,256.0
15106,44.829,2.9022,1113.0
58102,47.3798,3.1171,209.0
58304,47.3543,3.3895,226.0
46079,44.5578,1.545,364.0
54244,49.0323,5.8602,239.0
81027,43.4902,2.0622,615.0
43157,45.0283,3.8973,620.0
54156,48.387,6.1273,300.0
42021,45.5124,4.1192,370.0
35211,48.0327,-2.1793,74.0
60182,49.6239,2.189,168.0
97606,-12.9179,45.1428,25.0
97603,-12.9392,45.1797,25.0
27209,49.2889,0.7158,110.0
97423,-21.1138,55.3377,1505.0
56233,47.5831,-3.0014,9.0
56054,47.6358,-3.157,9.0
56132,47.7242,-2.7731,42.0
56126,47.5441,-2.3599,26.0
61413,48.8295,0.0933,155.0
61117,48.4316,0.0319,143.0
61475,48.6256,0.5561,240.0
61435,48.814,0.5958,249.0
61230,48.5419,0.8033,237.0
61346,48.9182,0.0946,247.0
61397,48.4178,0.0587,143.0
61490,48.81,0.0477,155.0
61040,48.6912,-0.4416,175.0
61329,48.4433,0.5494,233.0
61145,48.5866,-0.6554,135.0
61407,48.8233,-0.4824,211.0
61026,48.4737,0.3449,155.0
61263,48.5043,0.1844,143.0
61206,48.6032,0.7373,217.0
61020,48.6734,-0.1012,171.0
61092,48.7424,0.7444,216.0
61460,48.8868,0.3196,225.0
61447,48.8322,-0.5399,211.0
61037,48.4208,0.4843,168.0
61061,48.4388,0.9055,220.0
61418,48.5091,0.6368,236.0
61429,48.6394,0.7597,215.0
61440,48.7364,0.6736,232.0
61067,48.557,0.3974,200.0
61461,48.8309,0.3893,297.0
61240,48.6479,0.1372,176.0
61024,48.6657,-0.5537,226.0
61486,48.7283,-0.7337,306.0
61158,48.6691,-0.2898,232.0
61050,48.4567,0.6962,236.0
61248,48.5124,-0.8179,147.0
61309,48.3585,0.6958,233.0
61421,48.5514,-0.7366,165.0
61375,48.6765,0.0084,180.0
61081,48.6597,0.2124,202.0
61457,48.7869,0.5634,212.0
61445,48.812,-0.65,170.0
61193,48.8145,0.4919,272.0
61234,48.4537,0.0379,143.0
61002,48.6975,0.1242,176.0
61244,48.6597,0.4392,223.0
12225,44.0567,2.9875,360.0
12291,44.2155,3.048,712.0
38545,45.043,5.6712,285.0
12003,44.5401,2.1801,185.0
12037,44.024,2.7155,266.0
38527,45.1884,6.0995,772.0
65295,42.8357,0.0175,1210.0
79111,46.0794,-0.2597,106.0
79195,46.9391,-0.6114,200.0
79016,46.7846,-0.0692,132.0
47039,44.1589,0.0698,149.0
24354,45.1292,0.0494,29.0
24273,44.816,0.824,140.0
24165,45.0788,0.1167,29.0
40053,44.153,-0.2091,115.0
40287,44.4776,-1.0903,23.0
