id,code_INSEE,annee,mois,jour,heure,tmax_med
1064,66207,2012,Jun,25,14,19.5
1065,66212,2016,Aug,6,18,19.3
1066,66212,2019,May,30,13,19.3
1067,66214,2012,Aug,17,13,19.2
1068,66214,2022,Jul,30,21,19.2
1069,66215,2015,Aug,20,13,20.55
1070,66215,2015,Jul,20,16,20.55
1071,66224,2019,Aug,14,17,19.3
1072,66227,2012,Sep,13,20,19.45
1073,66227,2019,Jul,15,13,19.45
1074,66228,2018,Jul,20,14,19.45
1075,7003,2014,Mar,13,14,18.2
1076,7012,2018,Apr,21,16,12.85
1077,7018,2016,Sep,24,22,13.95
1078,7028,2022,Sep,1,11,19.8
1079,7038,2012,Aug,21,17,10.9
1080,7040,2022,Jun,20,17,14.5
1081,7045,2012,Mar,27,16,16.4
1082,7077,2019,Mar,24,10,15.2
1083,7077,2022,Jul,27,10,15.2
1084,7085,2022,Aug,10,14,14.5
1085,7086,2017,Aug,26,17,16.7
1086,7093,2022,Jan,26,12,18.2
1087,7098,2019,Feb,28,17,15.1
1088,7112,2015,Nov,20,13,18.2
1089,7114,2012,Mar,3,10,13.0
1090,7115,2020,Sep,18,14,19.75
1091,7121,2019,Mar,4,15,10.5
1092,7129,2022,Aug,13,11,14.5
1093,7134,2022,Jul,22,16,18.2
1094,7136,2012,Mar,15,17,13.95
1095,7139,2017,Mar,18,14,18.2
1096,7141,2017,Apr,15,20,14.9
1097,7147,2012,Aug,21,7,18.7
1098,7147,2012,May,17,18,18.7
1099,7153,2012,Mar,28,20,19.6
1100,7153,2017,Mar,21,17,19.6
1101,7161,2022,Aug,28,0,16.4
1102,7187,2021,Apr,8,12,14.9
1103,7194,2012,Mar,2,17,20.3
1104,7200,2022,Feb,26,16,10.8
1105,7202,2012,Mar,15,15,18.7
1106,7202,2016,Mar,15,17,18.7
1107,7202,2022,Jan,20,17,18.7
1108,7210,2012,Feb,22,17,17.2
1109,7210,2014,Mar,19,11,17.2
1110,7226,2022,Feb,18,16,11.5
1111,7251,2017,Jan,7,15,18.2
1112,7251,2021,Apr,1,10,18.2
1113,7258,2015,Jul,14,22,11.3
1114,7263,2012,Mar,3,14,15.1
1115,7266,2012,Feb,23,13,15.9
1116,7286,2015,Apr,10,11,15.2
1117,73019,2015,Apr,9,16,16.6
1118,7315,2020,Feb,15,20,16.0
1119,7315,2022,Jan,16,16,16.0
1120,73211,2015,Jul,7,12,17.8
1121,7322,2014,Mar,12,16,14.1
1122,7323,2015,Jul,7,2,20.2
