id,code_INSEE,nature_sec_inc,rr_med
688,1037,travaux,131.6
689,41275,travaux,51.5
690,41041,travaux,61.4
691,41250,travaux,58.5
692,41248,travaux,59.6
693,41088,travaux,48.5
694,4074,travaux,58.3
695,48119,travaux,67.05
696,6013,NA,72.0
697,7077,travaux,87.0
698,34007,travaux,37.0
699,34235,NA,52.5
700,6148,NA,61.5
701,83069,NA,44.0
702,2A272,NA,48.2
703,2B002,NA,38.5
704,34093,NA,59.7
705,2B050,particulier,42.6
706,13117,NA,34.25
707,13117,NA,34.25
708,83003,NA,60.0
709,83082,travaux,60.0
710,4045,NA,47.5
711,34341,NA,42.7
712,83137,NA,39.45
713,34095,particulier,42.7
714,4004,travaux,50.6
715,34143,particulier,32.0
716,34213,NA,42.7
717,48065,travaux,49.25
718,48194,travaux,99.5
719,83153,NA,39.45
720,34015,travaux,40.0
721,34268,NA,36.0
722,66156,travaux,61.7
723,34145,particulier,51.85
724,4113,particulier,47.5
725,84035,NA,44.3
726,2B079,NA,42.3
727,34056,travaux,30.8
728,5123,NA,75.5
729,34166,travaux,27.95
730,30093,NA,71.5
731,83107,particulier,46.5
732,13103,particulier,38.2
733,13106,particulier,40.9
734,2B185,NA,41.15
735,2B222,NA,52.55
736,34329,travaux,32.0
737,34017,NA,39.45
738,2B143,NA,41.0
739,34205,NA,82.0
740,26300,NA,71.5
741,34235,NA,52.5
742,34281,NA,38.1
743,2B105,NA,33.9
744,34308,NA,54.3
745,34168,NA,40.25
746,2A048,NA,37.6
747,30190,NA,103.5
748,34045,particulier,51.7
749,2B355,NA,46.5
750,2A326,travaux,60.5
751,2A272,NA,48.2
752,66134,NA,34.75
753,66212,NA,27.8
754,66182,NA,27.8
755,34210,NA,38.65
756,66205,NA,31.7
757,84089,NA,75.5
758,4144,travaux,74.75
759,34281,NA,38.1
760,66145,NA,22.75
761,66008,NA,33.2
762,66227,NA,28.95
763,66168,NA,44.55
764,66108,particulier,32.35
765,66224,NA,27.8
766,7098,travaux,85.0
767,2B281,NA,81.25
768,66088,travaux,22.35
769,66016,NA,30.95
770,6070,particulier,66.1
771,34165,NA,42.7
772,4204,travaux,74.75
773,6074,NA,63.4
774,6153,NA,60.8
775,7121,NA,79.0
776,48198,travaux,67.05
777,48015,travaux,81.05
778,48061,travaux,65.95
779,48166,travaux,65.95
780,48162,travaux,65.95
781,43246,particulier,55.35
782,82131,NA,60.7
783,2305,NA,58.85
784,82187,NA,69.4
785,89021,NA,64.45
786,58107,travaux,83.6
787,46072,travaux,53.8
788,43156,NA,65.8
789,58270,travaux,67.25
790,89044,NA,63.1
791,89419,travaux,57.0
792,3217,NA,54.1
793,3155,NA,52.6
794,45315,travaux,52.5
795,45098,particulier,42.0
796,77186,particulier,57.45
797,87064,NA,88.65
798,97408,NA,47.0
799,31581,NA,54.1
800,79246,NA,67.9
801,79154,travaux,64.0
802,15038,travaux,65.5
803,15250,travaux,98.8
804,24485,NA,66.8
805,24294,NA,67.5
806,64067,travaux,84.4
807,64223,travaux,122.8
808,64559,NA,102.6
809,40296,particulier,79.1
810,40319,NA,80.2
811,40006,NA,75.3
812,40060,NA,75.15
813,33029,NA,39.7
814,33202,NA,80.95
815,33202,NA,80.95
816,33029,NA,39.7
817,33233,NA,53.0
818,33202,NA,80.95
819,48098,particulier,103.9
820,2B315,NA,45.6
821,2B002,NA,38.5
822,30089,NA,44.5
823,34143,particulier,32.0
824,34197,NA,48.7
825,2B079,NA,42.3
826,13077,travaux,38.7
827,34226,NA,39.6
828,26200,NA,71.0
829,2B242,NA,46.8
830,6130,NA,70.2
831,6070,NA,66.1
832,7315,travaux,132.9
833,2B112,NA,55.4
834,34016,NA,32.9
835,2B224,NA,81.25
836,4094,travaux,40.4
837,4199,NA,71.0
838,2B145,NA,41.0
839,2B192,NA,46.5
840,66119,travaux,61.7
841,34032,NA,48.05
842,5055,NA,68.0
843,4070,NA,47.5
844,66069,NA,29.25
845,30129,NA,72.95
846,30169,NA,53.0
847,30339,travaux,103.5
848,2A004,NA,52.05
849,2A017,particulier,37.6
850,83003,travaux,60.0
851,2A031,travaux,120.5
852,2B275,NA,54.9
853,34147,NA,34.8
854,30017,particulier,88.1
855,13081,particulier,34.25
856,13077,NA,38.7
857,13118,particulier,38.45
858,13005,travaux,52.6
859,13117,particulier,34.25
860,34232,particulier,39.6
861,48119,NA,67.05
862,30339,travaux,103.5
863,2B051,NA,52.55
864,7115,particulier,66.25
865,13033,travaux,34.25
866,4170,travaux,64.85
867,4013,NA,67.9
868,66017,NA,29.5
869,66172,travaux,29.25
870,66071,NA,31.7
871,66093,NA,44.55
872,66176,particulier,27.8
873,66049,NA,45.2
874,66030,NA,31.7
875,66015,NA,34.75
876,2B063,NA,61.6
877,34061,NA,37.3
878,2A323,NA,57.05
879,48116,NA,57.5
880,48178,particulier,57.5
881,6103,NA,72.0
882,6103,NA,72.0
883,17240,travaux,68.75
884,97415,NA,45.45
885,87150,NA,73.0
886,97415,NA,45.45
887,89368,travaux,62.35
888,63006,travaux,89.7
889,63006,travaux,89.7
890,12094,NA,86.9
891,12155,travaux,77.0
892,40184,particulier,40.85
893,33436,NA,80.95
894,33376,NA,74.75
895,34214,travaux,34.0
896,34040,travaux,59.7
897,34341,travaux,42.7
898,2B355,NA,46.5
899,34092,NA,38.2
900,6163,travaux,65.15
901,48075,travaux,72.0
902,48168,travaux,60.25
903,48119,NA,67.05
904,7251,travaux,73.3
905,84079,particulier,55.0
906,7187,travaux,94.15
907,5077,particulier,52.95
908,2B355,NA,46.5
909,2B213,NA,48.3
910,34135,particulier,23.0
911,34206,NA,26.55
912,34135,NA,23.0
913,13007,particulier,117.25
914,66069,NA,29.25
915,66174,travaux,30.0
916,2A004,particulier,52.05
917,66148,travaux,30.95
918,83124,NA,61.75
919,2B150,NA,42.1
920,30193,travaux,56.95
921,2B185,NA,41.15
922,6157,particulier,59.1
923,2A006,NA,37.6
924,2B190,NA,39.3
925,66121,particulier,32.35
926,66012,travaux,29.25
927,66048,particulier,30.95
928,34328,NA,32.9
929,2B143,NA,41.0
930,34180,NA,47.3
931,34007,particulier,37.0
932,34017,NA,39.45
933,34183,particulier,26.55
934,2A017,NA,37.6
935,2A209,NA,57.05
936,66190,NA,27.8
937,66205,particulier,31.7
938,6073,NA,66.55
939,48075,NA,72.0
940,13056,particulier,15.5
941,2B235,NA,39.3
942,2B333,NA,41.15
943,2B143,NA,41.0
944,34268,NA,36.0
945,34045,NA,51.7
946,34213,NA,42.7
947,34036,NA,36.0
948,66002,NA,28.95
949,34332,particulier,27.95
950,2A006,particulier,37.6
951,34093,travaux,59.7
952,34135,NA,23.0
953,34186,NA,52.7
954,34056,NA,30.8
955,34165,NA,42.7
956,34178,NA,37.3
957,2A200,NA,117.0
958,2B289,NA,42.25
959,2B079,NA,42.3
960,2B343,NA,41.0
961,34144,travaux,65.8
962,15081,travaux,120.7
963,15045,travaux,74.7
964,21582,travaux,58.5
965,46040,NA,96.0
966,81243,travaux,74.4
967,81325,travaux,71.6
968,81073,NA,49.0
969,15106,particulier,103.35
970,41275,travaux,51.5
971,58102,particulier,52.0
972,58304,particulier,59.8
973,46079,particulier,75.5
974,54244,travaux,41.4
975,81027,NA,91.0
976,43157,NA,47.0
977,54156,NA,64.5
978,42021,travaux,40.4
979,35211,particulier,52.4
980,58102,particulier,52.0
981,60182,travaux,55.6
982,97606,travaux,72.4
983,97603,travaux,72.4
984,27209,NA,63.15
985,97423,NA,54.05
986,56233,particulier,61.5
987,56054,NA,61.5
988,56132,NA,64.4
989,56126,travaux,63.5
990,61413,NA,43.1
991,61117,NA,56.05
992,61475,NA,63.45
993,61435,NA,58.8
994,61230,NA,60.3
995,61346,NA,64.25
996,61397,NA,56.05
997,61490,NA,43.1
998,61040,NA,56.25
999,61329,NA,63.1
1000,61145,NA,64.65
1001,61407,NA,69.35
1002,61026,NA,60.3
1003,61263,NA,56.05
1004,61206,NA,57.9
1005,61020,NA,55.35
1006,61092,NA,49.9
1007,61460,NA,63.0
1008,61447,NA,69.35
1009,61037,NA,62.0
1010,61061,NA,62.9
1011,61230,NA,60.3
1012,61418,NA,77.7
1013,61429,NA,82.0
1014,61440,NA,53.95
1015,61067,NA,72.9
1016,61440,NA,53.95
1017,61461,NA,70.85
1018,61240,NA,57.0
1019,61024,NA,81.4
1020,61067,NA,72.9
1021,61486,NA,87.45
1022,61158,NA,70.55
1023,61145,NA,64.65
1024,61050,NA,77.7
1025,61248,NA,59.7
1026,61309,NA,63.1
1027,61421,NA,70.7
1028,61375,NA,52.5
1029,61081,NA,56.2
1030,61457,NA,54.9
1031,61445,NA,56.7
1032,61050,NA,77.7
1033,61193,NA,89.7
1034,61234,NA,56.05
1035,61002,NA,57.0
1036,61244,NA,63.5
1037,12225,NA,49.5
1038,12291,travaux,54.2
1039,38545,NA,59.7
1040,12163,NA,106.3
1041,12003,NA,89.55
1042,12037,NA,68.5
1043,38527,NA,93.4
1044,65295,NA,92.15
1045,79111,travaux,64.0
1046,79195,travaux,66.5
1047,79016,travaux,47.25
1048,47039,NA,64.0
1049,24354,NA,67.5
1050,24273,NA,63.6
1051,24165,NA,67.5
1052,24165,NA,67.5
1053,40053,particulier,56.9
1054,40287,NA,66.4
1055,40307,NA,78.7
1056,40142,NA,77.6
1057,40167,NA,75.15
1058,40142,travaux,77.6
1059,40087,NA,61.15
1060,40123,NA,94.65
1061,40217,NA,82.1
1062,64233,travaux,55.2
1063,64217,NA,100.2
1064,33021,NA,60.5
1065,33348,NA,62.0
1066,33544,NA,60.2
1067,33322,NA,74.75
1068,41193,travaux,61.4
1069,41193,travaux,61.4
1070,86086,travaux,50.8
1071,2B210,NA,41.0
1072,7202,particulier,97.55
1073,2B135,NA,64.5
1074,2B007,travaux,102.5
1075,2B207,NA,41.0
1076,2B095,NA,57.3
1077,34156,travaux,52.7
1078,34279,NA,41.6
1079,2B235,NA,39.3
1080,2B290,NA,39.3
1081,2B145,NA,41.0
1082,5004,NA,72.6
1083,5090,NA,74.35
1084,7093,particulier,94.25
1085,2B290,NA,39.3
1086,2B223,NA,42.0
1087,6153,travaux,60.8
1088,4019,particulier,31.25
1089,4170,NA,64.85
1090,13005,particulier,52.6
1091,30325,NA,63.0
1092,83044,particulier,64.7
1093,4018,particulier,65.25
1094,2A117,travaux,68.6
