id,commune,code_INSEE,surface_parcourue_m2,annee,mois,jour,heure,nature_inc_prim,nature_inc_sec
745,Montesquieu,34168,111935,2019,Sep,7,6,Malveillance,NA
746,Calcatoggio,2A048,83000,2019,Sep,10,11,Malveillance,NA
747,Notre-Dame-de-la-RouviÃ¨re,30190,87701,2019,Sep,5,13,Malveillance,NA
748,CabriÃ¨res,34045,57257,2019,Sep,18,12,Involontaire,particulier
749,Volpajola,2B355,566000,2019,Oct,4,10,Malveillance,NA
750,Tolla,2A326,710000,2019,Feb,23,19,Involontaire,travaux
751,SartÃ¨ne,2A272,208000,2019,Oct,9,14,Accidentelle,NA
752,Passa,66134,50000,2019,Apr,12,11,Malveillance,NA
753,Torreilles,66212,150000,2019,May,30,13,Malveillance,NA
754,Sainte-Marie-la-Mer,66182,50000,2019,May,30,15,Malveillance,NA
755,Le Pouget,34210,56401,2019,Oct,6,17,Accidentelle,NA
756,Tautavel,66205,80000,2019,Jul,5,14,Malveillance,NA
757,Pertuis,84089,212100,2019,Sep,8,16,Accidentelle,NA
758,La Palud-sur-Verdon,4144,150600,2019,Feb,28,17,Involontaire,travaux
759,Saint-Pargoire,34281,388500,2019,Sep,6,6,Malveillance,NA
760,Ponteilla,66145,50000,2019,Jul,15,1,Malveillance,NA
761,ArgelÃ¨s-sur-Mer,66008,300000,2019,Jul,15,13,Malveillance,NA
762,Villeneuve-de-la-Raho,66227,365000,2019,Jul,15,13,Malveillance,NA
763,Saint-AndrÃ©,66168,100000,2019,Jul,16,13,Malveillance,NA
764,Millas,66108,880000,2019,Jul,16,14,Involontaire,particulier
765,Villelongue-de-la-Salanque,66224,180000,2019,Aug,14,17,Malveillance,NA
766,Gourdon,7098,70000,2019,Feb,28,17,Involontaire,travaux
767,Sisco,2B281,996300,2019,Feb,23,13,Malveillance,NA
768,Ille-sur-TÃªt,66088,50000,2019,Aug,22,12,Involontaire,travaux
769,Banyuls-sur-Mer,66016,330000,2019,Sep,5,5,Malveillance,NA
770,GrÃ©oliÃ¨res,6070,80000,2019,Jan,12,11,Involontaire,particulier
771,Montbazin,34165,154537,2019,Jun,5,14,Malveillance,NA
772,Senez,4204,197300,2019,Mar,1,9,Involontaire,travaux
773,Lantosque,6074,370000,2019,Feb,25,12,Malveillance,NA
774,Valdeblore,6153,342100,2019,Mar,4,15,Malveillance,NA
775,Lachapelle-Graillouse,7121,90000,2019,Mar,4,15,Malveillance,NA
776,Villefort,48198,100000,2019,Feb,13,15,Involontaire,travaux
777,Pied-de-Borne,48015,85000,2019,Feb,16,10,Involontaire,travaux
778,Florac Trois RiviÃ¨res,48061,57700,2019,Feb,27,15,Involontaire,travaux
779,Cans et CÃ©vennes,48166,143500,2019,Feb,28,15,Involontaire,travaux
780,Saint-Julien-d'Arpaon,48162,220000,2019,Feb,27,15,Involontaire,travaux
781,Tiranges,43246,100000,2020,Apr,15,12,Involontaire,particulier
782,Montpezat-de-Quercy,82131,80000,2020,Jul,13,14,Accidentelle,NA
783,FÃ¨re-en-Tardenois,2305,100000,2020,Jul,27,16,Accidentelle,NA
784,Varen,82187,700000,2020,Aug,10,14,Accidentelle,NA
785,Asquins,89021,370000,2020,Jul,13,15,Malveillance,NA
786,Dun-sur-Grandry,58107,216242,2020,Aug,27,18,Involontaire,travaux
787,ConcorÃ¨s,46072,120000,2020,Sep,10,16,Involontaire,travaux
788,PrÃ©sailles,43156,62000,2020,Sep,18,13,Accidentelle,NA
789,Saint-VÃ©rain,58270,75250,2020,Sep,14,15,Involontaire,travaux
790,Blannay,89044,50000,2020,Sep,14,17,Accidentelle,NA
791,Toucy,89419,72000,2020,Sep,15,17,Involontaire,travaux
792,Saint-Angel,3217,250000,2020,Aug,25,13,Malveillance,NA
793,Lurcy-LÃ©vis,3155,55000,2020,Sep,18,18,Accidentelle,NA
794,Sully-sur-Loire,45315,50500,2020,Jul,7,16,Involontaire,travaux
795,ClÃ©ry-Saint-AndrÃ©,45098,100000,2020,Jul,27,13,Involontaire,particulier
796,Fontainebleau,77186,50000,2020,Aug,7,12,Involontaire,particulier
797,Eymoutiers,87064,140000,2020,Aug,11,21,Accidentelle,NA
798,La Possession,97408,108106,2020,Oct,31,14,Accidentelle,NA
799,Villaudric,31581,200000,2020,Aug,7,15,Malveillance,NA
800,Sainte-Eanne,79246,80000,2020,Jul,30,17,Accidentelle,NA
801,LoubillÃ©,79154,70000,2020,Aug,4,11,Involontaire,travaux
802,Champs-sur-Tarentaine-Marchal,15038,50000,2020,Apr,11,15,Involontaire,travaux
803,Vebret,15250,180000,2020,Aug,6,12,Involontaire,travaux
804,Saint-Pierre-de-CÃ´le,24485,80000,2020,Jul,14,17,Accidentelle,NA
805,Montpon-MÃ©nestÃ©rol,24294,50000,2020,Sep,3,14,Malveillance,NA
806,Assat,64067,71000,2020,Sep,17,13,Involontaire,travaux
807,Etsaut,64223,700000,2020,Feb,24,14,Involontaire,travaux
808,Viodos-Abense-de-Bas,64559,50000,2020,Sep,18,13,Malveillance,NA
809,Seignosse,40296,60000,2020,Aug,3,16,Involontaire,particulier
810,Trensacq,40319,120000,2020,Aug,16,12,Accidentelle,NA
811,Arengosse,40006,50000,2020,Aug,12,15,Naturelle,NA
812,Callen,40060,84391,2020,Aug,13,20,Naturelle,NA
813,Le Barp,33029,125500,2020,Mar,1,15,Naturelle,NA
814,Hostens,33202,214300,2020,Sep,7,15,Accidentelle,NA
815,Hostens,33202,362600,2020,Sep,9,14,Accidentelle,NA
816,Le Barp,33029,212400,2020,Sep,16,14,Accidentelle,NA
817,Laruscade,33233,60000,2020,Sep,17,17,Accidentelle,NA
818,Hostens,33202,50000,2020,Sep,18,5,Malveillance,NA
819,Molezon,48098,93400,2020,Apr,15,12,Involontaire,particulier
820,Santo-Pietro-di-Venaco,2B315,110000,2020,Feb,2,11,Malveillance,NA
821,Aghione,2B002,898200,2020,Jun,5,14,Malveillance,NA
822,Comps,30089,86050,2020,Jul,5,9,Accidentelle,NA
823,Loupian,34143,135801,2020,Jul,7,15,Involontaire,particulier
824,PÃ©ret,34197,517100,2020,Jul,8,14,Malveillance,NA
825,Castello-di-Rostino,2B079,322600,2020,Jul,13,11,Malveillance,NA
826,Port-de-Bouc,13077,62000,2020,Jun,26,11,Involontaire,travaux
827,Quarante,34226,295700,2020,Jul,14,15,Accidentelle,NA
828,Montfroc,26200,104200,2020,Jul,21,12,Malveillance,NA
829,Poggio-Mezzana,2B242,196800,2020,Feb,10,18,Malveillance,NA
830,Saint-Vallier-de-Thiey,6130,392700,2020,Feb,11,6,Accidentelle,NA
831,GrÃ©oliÃ¨res,6070,195400,2020,Feb,11,11,Accidentelle,NA
832,La Souche,7315,200000,2020,Feb,15,20,Involontaire,travaux
833,Feliceto,2B112,194400,2020,Aug,3,23,Malveillance,NA
834,Aumelas,34016,67959,2020,Aug,6,15,Malveillance,NA
835,Pietracorbara,2B224,741300,2020,Feb,10,14,Malveillance,NA
836,GrÃ©oux-les-Bains,4094,74800,2020,Aug,6,17,Involontaire,travaux
837,Saint-Vincent-sur-Jabron,4199,351400,2020,Aug,7,15,Accidentelle,NA
838,Loreto-di-Casinca,2B145,50000,2020,Aug,8,6,Malveillance,NA
839,Olmo,2B192,200000,2020,Feb,11,8,Accidentelle,NA
840,Mosset,66119,150000,2020,Feb,24,12,Involontaire,travaux
841,BÃ©ziers,34032,236085,2020,Aug,14,17,Malveillance,NA
842,La Faurie,5055,628500,2020,Aug,10,15,Naturelle,NA
843,Digne-les-Bains,4070,55900,2020,Aug,24,15,Malveillance,NA
844,Espira-de-l'Agly,66069,50000,2020,Mar,13,0,Malveillance,NA
845,GÃ©nÃ©rargues,30129,130605,2020,Jul,19,16,Malveillance,NA
846,Milhaud,30169,409541,2020,Aug,1,15,Malveillance,NA
847,Val-d'Aigoual,30339,663168,2020,Feb,24,15,Involontaire,travaux
848,Ajaccio,2A004,100000,2020,Aug,13,11,Malveillance,NA
849,Appietto,2A017,120000,2020,Aug,13,16,Involontaire,particulier
850,Ampus,83003,311000,2020,Feb,19,11,Involontaire,travaux
851,Bastelica,2A031,56038,2020,Jan,12,15,Involontaire,travaux
852,Sermano,2B275,121520,2020,Sep,6,13,Malveillance,NA
853,Magalas,34147,56520,2020,Sep,3,16,Malveillance,NA
854,Arrigas,30017,89533,2020,Sep,4,13,Involontaire,particulier
855,Rognac,13081,87400,2020,Aug,5,16,Involontaire,particulier
856,Port-de-Bouc,13077,832200,2020,Aug,4,16,Malveillance,NA
857,Coudoux,13118,117300,2020,Aug,3,18,Involontaire,particulier
858,Aubagne,13005,91600,2020,Aug,4,17,Involontaire,travaux
859,Vitrolles,13117,313100,2020,Aug,23,13,Involontaire,particulier
860,Roquebrun,34232,69471,2020,Sep,25,16,Involontaire,particulier
861,PrÃ©venchÃ¨res,48119,180100,2020,Sep,7,15,Accidentelle,NA
862,Val-d'Aigoual,30339,104450,2020,Feb,23,13,Involontaire,travaux
863,Cambia,2B051,50000,2020,Oct,11,11,Malveillance,NA
864,Labeaume,7115,50000,2020,Sep,18,14,Involontaire,particulier
865,EnsuÃ¨s-la-Redonne,13033,53600,2020,Sep,19,19,Involontaire,travaux
866,La Rochette,4170,58800,2020,Feb,7,14,Involontaire,travaux
867,Aubignosc,4013,92500,2020,Nov,21,6,Accidentelle,NA
868,Le BarcarÃ¨s,66017,100000,2020,Jul,4,13,Malveillance,NA
869,Saint-EstÃ¨ve,66172,80000,2020,Jul,7,10,Involontaire,travaux
870,Estagel,66071,286300,2020,Jul,10,16,Malveillance,NA
871,Laroque-des-AlbÃ¨res,66093,80000,2020,Jul,17,16,Malveillance,NA
872,Saint-Hippolyte,66176,200000,2020,Aug,3,19,Involontaire,particulier
873,CÃ©ret,66049,50000,2020,Aug,5,17,Accidentelle,NA
874,Calce,66030,110000,2020,Aug,21,14,Malveillance,NA
875,Banyuls-dels-Aspres,66015,50000,2020,Aug,23,0,Malveillance,NA
876,Carcheto-Brustico,2B063,250000,2020,Feb,26,11,Malveillance,NA
877,Causses-et-Veyran,34061,79565,2020,Nov,7,10,Malveillance,NA
878,Tavaco,2A323,70000,2020,Nov,8,11,Malveillance,NA
879,Pont de Montvert - Sud Mont LozÃ¨re,48116,819600,2020,Feb,23,17,Malveillance,NA
880,Saint-Privat-de-Vallongue,48178,77400,2020,Mar,18,12,Involontaire,particulier
881,RoquebilliÃ¨re,6103,95000,2020,Mar,22,11,Malveillance,NA
882,RoquebilliÃ¨re,6103,112000,2020,Mar,22,13,Malveillance,NA
883,Montendre,17240,150000,2021,Apr,4,15,Involontaire,travaux
884,Saint-Paul,97415,140594,2021,Aug,3,17,Malveillance,NA
885,Saint-Hilaire-les-Places,87150,100000,2021,Apr,3,16,Accidentelle,NA
886,Saint-Paul,97415,384400,2021,Oct,2,7,Malveillance,NA
887,Saint-Sauveur-en-Puisaye,89368,50000,2021,Apr,21,19,Involontaire,travaux
888,Anzat-le-Luguet,63006,90000,2021,Feb,25,13,Involontaire,travaux
889,Anzat-le-Luguet,63006,80000,2021,Mar,6,14,Involontaire,travaux
890,Entraygues-sur-TruyÃ¨re,12094,60000,2021,Feb,22,1,Accidentelle,NA
891,Fondamente,12155,60000,2021,Mar,30,15,Involontaire,travaux
892,Mimizan,40184,600000,2021,Aug,28,15,Involontaire,particulier
893,Saint-Magne,33436,50000,2021,Apr,19,15,Malveillance,NA
894,Saint-Aubin-de-MÃ©doc,33376,50000,2021,Aug,31,2,Accidentelle,NA
895,Pouzolles,34214,216018,2021,Mar,21,10,Involontaire,travaux
896,Brenas,34040,97834,2021,Mar,24,12,Involontaire,travaux
897,Villeveyrac,34341,221628,2021,Mar,29,11,Involontaire,travaux
898,Volpajola,2B355,489000,2021,Mar,31,12,Malveillance,NA
899,Cruzy,34092,60755,2021,Jan,17,12,Malveillance,NA
900,Tende,6163,420000,2021,Apr,7,12,Involontaire,travaux
901,Ispagnac,48075,62600,2021,Apr,1,20,Involontaire,travaux
902,Saint-LÃ©ger-de-Peyre,48168,75000,2021,Apr,2,17,Involontaire,travaux
903,PrÃ©venchÃ¨res,48119,114700,2021,Apr,7,16,Malveillance,NA
904,Saint-Joseph-des-Bancs,7251,57000,2021,Apr,1,10,Involontaire,travaux
905,Monieux,84079,308100,2021,Apr,7,14,Involontaire,particulier
906,Prunet,7187,165000,2021,Apr,8,12,Involontaire,travaux
907,Molines-en-Queyras,5077,55000,2021,May,8,15,Involontaire,particulier
908,Volpajola,2B355,80000,2021,May,17,10,Malveillance,NA
909,Pianello,2B213,50000,2021,Jan,30,9,Malveillance,NA
910,Lespignan,34135,340439,2021,May,30,12,Involontaire,particulier
911,Poilhes,34206,560104,2021,Jun,7,10,Malveillance,NA
912,Lespignan,34135,188475,2021,Jun,7,12,Malveillance,NA
913,Auriol,13007,803300,2021,Apr,6,16,Involontaire,particulier
914,Espira-de-l'Agly,66069,100000,2021,Apr,6,5,Malveillance,NA
915,Saint-FÃ©liu-d'Avall,66174,70000,2021,Jun,14,12,Involontaire,travaux
916,Ajaccio,2A004,54000,2021,Jun,25,15,Involontaire,particulier
917,Port-Vendres,66148,329600,2021,Jun,16,9,Involontaire,travaux
918,Seillans,83124,70000,2021,Jun,30,15,Accidentelle,NA
919,Lumio,2B150,52500,2021,Jul,5,8,Malveillance,NA
920,Parignargues,30193,54503,2021,Jul,9,15,Involontaire,travaux
921,Oletta,2B185,105050,2021,Jul,14,13,Malveillance,NA
922,Vence,6157,89000,2021,Jul,14,12,Involontaire,particulier
923,Alata,2A006,70000,2021,Jul,9,18,Malveillance,NA
924,Olmi-Cappella,2B190,65000,2021,Feb,26,14,Malveillance,NA
925,NÃ©fiach,66121,963400,2021,Jul,18,15,Involontaire,particulier
926,Baho,66012,304530,2021,Jul,19,13,Involontaire,travaux
927,CerbÃ¨re,66048,99300,2021,Jul,31,16,Involontaire,particulier
928,VendÃ©mian,34328,69781,2021,Aug,1,13,Malveillance,NA
929,Linguizzetta,2B143,100000,2021,Aug,7,13,Malveillance,NA
930,NÃ©bian,34180,134100,2021,Aug,2,14,Malveillance,NA
931,Aigues-Vives,34007,67160,2021,Aug,16,19,Involontaire,particulier
932,Aumes,34017,143957,2021,Aug,18,12,Malveillance,NA
933,Nissan-lez-Enserune,34183,464040,2021,Aug,18,13,Involontaire,particulier
934,Appietto,2A017,357000,2021,Jul,29,17,Malveillance,NA
935,Peri,2A209,78000,2021,Aug,3,15,Malveillance,NA
936,Salses-le-ChÃ¢teau,66190,170000,2021,Aug,20,15,Malveillance,NA
937,Tautavel,66205,902900,2021,Aug,26,12,Involontaire,particulier
938,Isola,6073,98000,2021,Aug,26,12,Naturelle,NA
939,Ispagnac,48075,154800,2021,Aug,27,17,Malveillance,NA
940,Martigues,13056,59000,2021,Jul,16,16,Involontaire,particulier
941,Pioggiola,2B235,100000,2021,Mar,13,17,Malveillance,NA
942,Vallecalle,2B333,170000,2021,Mar,14,8,Malveillance,NA
943,Linguizzetta,2B143,334500,2021,Sep,7,14,Malveillance,NA
944,Saint-Jean-de-la-BlaquiÃ¨re,34268,153388,2021,Aug,19,12,Malveillance,NA
945,CabriÃ¨res,34045,278905,2021,Aug,24,12,Malveillance,NA
946,Poussan,34213,61647,2021,Aug,26,11,Malveillance,NA
947,Le Bosc,34036,113183,2021,Aug,28,12,Malveillance,NA
948,AlÃ©nya,66002,75000,2021,Aug,28,19,Malveillance,NA
949,Vias,34332,70550,2021,Sep,27,15,Involontaire,particulier
950,Alata,2A006,157305,2021,Oct,10,12,Involontaire,particulier
951,Dio-et-ValquiÃ¨res,34093,72005,2021,Oct,12,18,Involontaire,travaux
952,Lespignan,34135,378600,2021,Oct,28,13,Malveillance,NA
953,Octon,34186,68072,2021,Oct,10,12,Malveillance,NA
954,Castelnau-de-Guers,34056,80994,2021,Oct,13,18,Malveillance,NA
955,Montbazin,34165,445051,2021,Aug,16,5,Malveillance,NA
956,Murviel-lÃ¨s-BÃ©ziers,34178,54906,2021,Mar,11,14,Malveillance,NA
957,Palneca,2A200,184200,2021,Oct,23,16,Malveillance,NA
958,Soveria,2B289,106000,2021,Oct,25,15,Malveillance,NA
959,Castello-di-Rostino,2B079,70000,2021,Oct,26,15,Malveillance,NA
960,Venzolasca,2B343,80000,2021,Dec,19,11,Malveillance,NA
961,Lunas,34144,77012,2021,Mar,13,17,Involontaire,travaux
962,Jou-sous-Monjou,15081,50000,2022,Jan,24,18,Involontaire,travaux
963,Chaudes-Aigues,15045,150000,2022,Feb,10,16,Involontaire,travaux
964,Santenay,21582,75000,2022,Mar,9,15,Involontaire,travaux
965,Cabrerets,46040,200000,2022,Mar,23,12,Accidentelle,NA
966,Saint-Beauzile,81243,849600,2022,Jun,18,12,Involontaire,travaux
967,Viviers-lÃ¨s-Montagnes,81325,122000,2022,Jun,18,19,Involontaire,travaux
968,Crespinet,81073,500000,2022,Jun,19,14,Accidentelle,NA
969,LieutadÃ¨s,15106,250000,2022,May,12,14,Involontaire,particulier
970,La Ville-aux-Clercs,41275,300000,2022,Jun,18,12,Involontaire,travaux
971,Donzy,58102,60000,2022,Jul,9,20,Involontaire,particulier
972,Varzy,58304,50100,2022,Jul,11,16,Involontaire,particulier
973,Cras,46079,90000,2022,Jul,10,17,Involontaire,particulier
974,HagÃ©ville,54244,120000,2022,Jul,19,12,Involontaire,travaux
975,Belleserre,81027,110000,2022,Jul,30,17,Malveillance,NA
976,Le Puy-en-Velay,43157,98500,2022,Aug,12,17,Naturelle,NA
977,Diarville,54156,60500,2022,Aug,12,13,Accidentelle,NA
978,Boisset-Saint-Priest,42021,200000,2022,Jun,17,13,Involontaire,travaux
979,Paimpont,35211,100000,2022,Jul,18,10,Involontaire,particulier
980,Donzy,58102,260000,2022,Aug,10,13,Involontaire,particulier
981,Le Crocq,60182,500000,2022,Jul,19,14,Involontaire,travaux
982,Chirongui,97606,70000,2022,Nov,6,0,Involontaire,travaux
983,Bandrele,97603,50000,2022,Oct,23,0,Involontaire,travaux
984,Ã‰caquelon,27209,800000,2022,Aug,10,13,Accidentelle,NA
985,Les Trois-Bassins,97423,55342,2022,Dec,19,8,Malveillance,NA
986,Saint-Philibert,56233,50000,2022,Aug,6,13,Involontaire,particulier
987,Erdeven,56054,340000,2022,Aug,6,16,Malveillance,NA
988,Meucon,56132,150000,2022,Aug,7,3,Malveillance,NA
989,Marzan,56126,200000,2022,Aug,8,11,Involontaire,travaux
990,Saint-Lambert-sur-Dive,61413,100000,2022,Sep,19,15,Malveillance,NA
991,CondÃ©-sur-Sarthe,61117,200000,2022,Sep,4,13,Malveillance,NA
992,Soligny-la-Trappe,61475,600000,2022,Aug,27,15,Malveillance,NA
993,Saint-Nicolas-de-Sommaire,61435,100000,2022,Aug,25,15,Malveillance,NA
994,Longny les Villages,61230,150000,2022,Aug,25,12,Malveillance,NA
995,Le Renouard,61346,350000,2022,Aug,24,14,Malveillance,NA
996,Saint-Germain-du-CorbÃ©is,61397,150000,2022,Aug,23,14,Malveillance,NA
997,Tournai-sur-Dive,61490,110000,2022,Aug,12,15,Malveillance,NA
998,Bellou-en-Houlme,61040,50000,2022,Aug,12,13,Malveillance,NA
999,Le Pin-la-Garenne,61329,200000,2022,Aug,12,11,Malveillance,NA
1000,Domfront en Poiraie,61145,100000,2022,Aug,11,13,Malveillance,NA
1001,Sainte-Honorine-la-Chardonne,61407,100000,2022,Aug,10,17,Malveillance,NA
1002,Barville,61026,160000,2022,Aug,10,14,Malveillance,NA
1003,MÃ©nil-Erreux,61263,50000,2022,Aug,10,12,Malveillance,NA
1004,L'HÃ´me-Chamondot,61206,50000,2022,Aug,9,18,Malveillance,NA
1005,Avoine,61020,100000,2022,Aug,8,10,Malveillance,NA
1006,Chandai,61092,205000,2022,Aug,7,13,Malveillance,NA
1007,Sap-en-Auge,61460,200000,2022,Aug,5,18,Malveillance,NA
1008,Saint-Pierre-du-Regard,61447,200000,2022,Jul,30,18,Malveillance,NA
1009,Bellavilliers,61037,200000,2022,Jul,30,14,Malveillance,NA
1010,Bretoncelles,61061,150000,2022,Jul,27,13,Malveillance,NA
1011,Longny les Villages,61230,1000000,2022,Jul,26,19,Malveillance,NA
1012,Saint-Mard-de-RÃ©no,61418,100000,2022,Jul,26,17,Malveillance,NA
1013,Charencey,61429,100000,2022,Jul,26,14,Malveillance,NA
1014,Saint-Ouen-sur-Iton,61440,100000,2022,Jul,25,18,Malveillance,NA
1015,Bures,61067,400000,2022,Jul,24,21,Malveillance,NA
1016,Saint-Ouen-sur-Iton,61440,100000,2022,Jul,21,19,Malveillance,NA
1017,Le Sap-AndrÃ©,61461,80000,2022,Jul,19,15,Malveillance,NA
1018,MacÃ©,61240,100000,2022,Jul,19,14,Malveillance,NA
1019,Banvou,61024,100000,2022,Jul,19,14,Malveillance,NA
1020,Bures,61067,50000,2022,Jul,19,0,Malveillance,NA
1021,Tinchebray-Bocage,61486,350000,2022,Jul,18,19,Malveillance,NA
1022,Faverolles,61158,400000,2022,Jul,18,12,Malveillance,NA
1023,Domfront en Poiraie,61145,50000,2022,Jul,17,15,Malveillance,NA
1024,Cour-Maugis sur Huisne,61050,100000,2022,Jul,17,15,Malveillance,NA
1025,Mantilly,61248,50000,2022,Jul,16,19,Malveillance,NA
1026,Perche en NocÃ©,61309,60000,2022,Jul,15,14,Malveillance,NA
1027,Saint-Mars-d'Ã‰grenne,61421,100000,2022,Jul,15,14,Malveillance,NA
1028,BoischamprÃ©,61375,400000,2022,Jul,12,11,Malveillance,NA
1029,ChaillouÃ©,61081,100000,2022,Jul,11,15,Malveillance,NA
1030,Saint-Symphorien-des-BruyÃ¨res,61457,150000,2022,Jul,8,17,Malveillance,NA
1031,Saint-Pierre-d'Entremont,61445,300000,2022,Jul,8,17,Malveillance,NA
1032,Cour-Maugis sur Huisne,61050,250000,2022,Jun,14,16,Malveillance,NA
1033,La GonfriÃ¨re,61193,300000,2022,Jun,12,18,Malveillance,NA
1034,Lonrai,61234,200000,2022,Jun,12,15,Malveillance,NA
1035,AlmenÃªches,61002,100000,2022,Jun,12,15,Malveillance,NA
1036,MahÃ©ru,61244,50000,2022,Mar,25,17,Malveillance,NA
1037,Saint-Georges-de-LuzenÃ§on,12225,62000,2022,Mar,28,13,Accidentelle,NA
1038,VerriÃ¨res,12291,155000,2022,Jun,15,15,Involontaire,travaux
1039,Vif,38545,165800,2022,Aug,11,14,Malveillance,NA
1040,Murasson,12163,307000,2022,Jun,19,17,Accidentelle,NA
1041,Les Albres,12003,64400,2022,Aug,8,13,Malveillance,NA
1042,BroquiÃ¨s,12037,60000,2022,Sep,22,15,Accidentelle,NA
1043,Vaujany,38527,150000,2022,Jun,18,18,Naturelle,NA
1044,Luz-Saint-Sauveur,65295,400000,2022,Feb,8,14,Malveillance,NA
1045,EnsignÃ©,79111,311000,2022,Jun,15,13,Involontaire,travaux
1046,Nueil-les-Aubiers,79195,129000,2022,Jun,27,15,Involontaire,travaux
1047,Assais-les-Jumeaux,79016,129000,2022,Jul,10,12,Involontaire,travaux
1048,BoussÃ¨s,47039,228000,2022,Jul,19,21,Naturelle,NA
1049,La Roche-Chalais,24354,597000,2022,Aug,7,17,Malveillance,NA
1050,MoliÃ¨res,24273,122000,2022,Aug,9,13,Accidentelle,NA
1051,Eygurande-et-Gardedeuil,24165,50000,2022,Aug,4,18,Malveillance,NA
1052,Eygurande-et-Gardedeuil,24165,80000,2022,Aug,7,18,Malveillance,NA
1053,Bourriot-Bergonce,40053,60000,2022,Mar,26,15,Involontaire,particulier
1054,Sanguinet,40287,169660,2022,Aug,16,15,Naturelle,NA
1055,Sore,40307,168180,2022,Aug,12,19,Accidentelle,NA
1056,Laluque,40142,258000,2022,Oct,20,14,Accidentelle,NA
1057,Luxey,40167,184110,2022,Sep,6,17,Naturelle,NA
1058,Laluque,40142,326000,2022,Aug,2,14,Involontaire,travaux
1059,CrÃ©on-d'Armagnac,40087,85990,2022,Aug,25,17,Naturelle,NA
1060,Herm,40123,459000,2022,Sep,12,15,Accidentelle,NA
1061,Parentis-en-Born,40217,118000,2022,Jul,5,16,Naturelle,NA
1062,Garlin,64233,100000,2022,Sep,14,16,Involontaire,travaux
1063,Esquiule,64217,150000,2022,Oct,28,19,Malveillance,NA
1064,Auros,33021,105000,2022,May,11,17,Accidentelle,NA
1065,Queyrac,33348,194000,2022,Aug,6,19,Malveillance,NA
1066,Le Verdon-sur-Mer,33544,50000,2022,Aug,10,6,Malveillance,NA
1067,Le Pian-MÃ©doc,33322,50000,2022,Jul,17,3,Malveillance,NA
1068,Romilly,41193,80000,2022,Jul,11,14,Involontaire,travaux
1069,Romilly,41193,80000,2022,Jul,11,14,Involontaire,travaux
1070,Coussay-les-Bois,86086,51500,2022,Jul,18,19,Involontaire,travaux
1071,Pero-Casevecchie,2B210,70000,2022,Jan,12,9,Malveillance,NA
1072,SabliÃ¨res,7202,214923,2022,Jan,20,17,Involontaire,particulier
1073,Isolaccio-di-Fiumorbo,2B135,50000,2022,Jan,29,13,Malveillance,NA
1074,Albertacce,2B007,493700,2022,Feb,1,15,Involontaire,travaux
1075,Penta-di-Casinca,2B207,222400,2022,Feb,1,15,Malveillance,NA
1076,Corscia,2B095,321000,2022,Feb,11,14,Malveillance,NA
1077,MÃ©rifons,34156,82618,2022,Jan,23,11,Involontaire,travaux
1078,Saint-Nazaire-de-Ladarez,34279,63576,2022,Mar,24,17,Malveillance,NA
1079,Pioggiola,2B235,350000,2022,Feb,24,14,Malveillance,NA
1080,Speloncato,2B290,80000,2022,Feb,26,11,Malveillance,NA
1081,Loreto-di-Casinca,2B145,190000,2022,Feb,26,14,Malveillance,NA
1082,Ancelle,5004,339545,2022,Mar,24,10,Malveillance,NA
1083,La Motte-en-Champsaur,5090,446427,2022,Mar,26,14,Malveillance,NA
1084,Genestelle,7093,170980,2022,Jan,26,12,Involontaire,particulier
1085,Speloncato,2B290,112000,2022,Mar,12,10,Malveillance,NA
1086,Pietralba,2B223,56000,2022,Mar,24,9,Malveillance,NA
1087,Valdeblore,6153,396400,2022,Mar,24,10,Involontaire,travaux
1088,Barcelonnette,4019,350000,2022,Mar,26,14,Involontaire,particulier
1089,La Rochette,4170,867100,2022,Apr,8,13,Malveillance,NA
1090,Aubagne,13005,120000,2022,Mar,26,15,Involontaire,particulier
1091,SumÃ¨ne,30325,190184,2022,Apr,14,14,Accidentelle,NA
1092,Comps-sur-Artuby,83044,273000,2022,Apr,9,16,Involontaire,particulier
1093,Banon,4018,59700,2022,Apr,18,12,Involontaire,particulier
1094,Forciolo,2A117,73000,2022,Mar,25,18,Involontaire,travaux
1095,Bastelica,2A031,77000,2022,Apr,13,12,Involontaire,travaux
1096,Pouzolles,34214,97231,2022,Jan,28,16,Involontaire,travaux
1097,PrÃ©venchÃ¨res,48119,80000,2022,Jan,26,15,Involontaire,travaux
1098,Pont de Montvert - Sud Mont LozÃ¨re,48116,200000,2022,Jan,27,14,Involontaire,travaux
1099,Opoul-PÃ©rillos,66127,80000,2022,May,18,13,Involontaire,travaux
1100,Cagnano,2B046,339800,2022,Apr,12,12,Malveillance,NA
1101,Olcani,2B184,96300,2022,Apr,16,16,Malveillance,NA
1102,Canari,2B058,239000,2022,Apr,18,13,Malveillance,NA
1103,San-Gavino-di-Tenda,2B301,116000,2022,Apr,18,14,Malveillance,NA
1104,Vitrolles,13117,70000,2022,Jun,9,14,Malveillance,NA
1105,Grans,13044,50000,2022,Jun,9,16,Involontaire,particulier
1106,Baixas,66014,293800,2022,Jun,12,14,Malveillance,NA
1107,Blauzac,30041,179700,2022,Jun,13,15,Involontaire,particulier
1108,LÃ©denon,30145,376800,2022,Jun,13,14,Accidentelle,NA
1109,Orgon,13067,99900,2022,Jun,15,13,Involontaire,particulier
